Web Search interest: lol tsm
Worldwide Sep-Oct 2013

Interest over time
Week,lol tsm
2013-09-01 - 2013-09-07,49
2013-09-08 - 2013-09-14,40
2013-09-15 - 2013-09-21,100
2013-09-22 - 2013-09-28,51
2013-09-29 - 2013-10-05,24
2013-10-06 - 2013-10-12,25
2013-10-13 - 2013-10-19,24
2013-10-20 - 2013-10-26,23
2013-10-27 - 2013-11-02,27









