Web Search interest: lol tsm
Worldwide Jan-Feb 2013

Interest over time
Week,lol tsm
2013-01-06 - 2013-01-12,73
2013-01-13 - 2013-01-19,59
2013-01-20 - 2013-01-26,64
2013-01-27 - 2013-02-02,58
2013-02-03 - 2013-02-09,100
2013-02-10 - 2013-02-16,77
2013-02-17 - 2013-02-23,65
2013-02-24 - 2013-03-02,83









