Web Search interest: lol tsm
Worldwide Mar-Apr 2012

Interest over time
Week,lol tsm
2012-03-04 - 2012-03-10,79
2012-03-11 - 2012-03-17,50
2012-03-18 - 2012-03-24,43
2012-03-25 - 2012-03-31,48
2012-04-01 - 2012-04-07,55
2012-04-08 - 2012-04-14,100
2012-04-15 - 2012-04-21,42
2012-04-22 - 2012-04-28,55
2012-04-29 - 2012-05-05,44









