Web Search interest: smiteguru
Worldwide Sep-Oct 2015

Interest over time
Day,smiteguru
2015-09-01,53
2015-09-02,57
2015-09-03,61
2015-09-04,65
2015-09-05,66
2015-09-06,68
2015-09-07,64
2015-09-08,60
2015-09-09,57
2015-09-10,55
2015-09-11,55
2015-09-12,58
2015-09-13,57
2015-09-14,64
2015-09-15,68
2015-09-16,72
2015-09-17,76
2015-09-18,71
2015-09-19,60
2015-09-20,60
2015-09-21,60
2015-09-22,57
2015-09-23,57
2015-09-24,50
2015-09-25,84
2015-09-26,71
2015-09-27,71
2015-09-28,48
2015-09-29,48
2015-09-30,48
2015-10-01,50
2015-10-02,51
2015-10-03,60
2015-10-04,70
2015-10-05,79
2015-10-06,88
2015-10-07,48
2015-10-08,51
2015-10-09,54
2015-10-10,58
2015-10-11,76
2015-10-12,76
2015-10-13,51
2015-10-14,50
2015-10-15,50
2015-10-16,54
2015-10-17,100
2015-10-18,66
2015-10-19,77
2015-10-20,76
2015-10-21,81
2015-10-22,71
2015-10-23,54
2015-10-24,74
2015-10-25,72
2015-10-26,59
2015-10-27,52
2015-10-28,52
2015-10-29,60
2015-10-30,71
2015-10-31,71









