Web Search interest: smiteguru
Worldwide Nov-Dec 2015

Interest over time
Day,smiteguru
2015-11-01,0
2015-11-02,79
2015-11-03,60
2015-11-04,63
2015-11-05,67
2015-11-06,77
2015-11-07,88
2015-11-08,76
2015-11-09,52
2015-11-10,57
2015-11-11,55
2015-11-12,55
2015-11-13,88
2015-11-14,84
2015-11-15,0
2015-11-16,0
2015-11-17,0
2015-11-18,0
2015-11-19,0
2015-11-20,67
2015-11-21,60
2015-11-22,60
2015-11-23,60
2015-11-24,60
2015-11-25,60
2015-11-26,78
2015-11-27,70
2015-11-28,70
2015-11-29,51
2015-11-30,51
2015-12-01,62
2015-12-02,48
2015-12-03,79
2015-12-04,58
2015-12-05,76
2015-12-06,100
2015-12-07,55
2015-12-08,82
2015-12-09,76
2015-12-10,51
2015-12-11,51
2015-12-12,86
2015-12-13,92
2015-12-14,60
2015-12-15,54
2015-12-16,61
2015-12-17,98
2015-12-18,54
2015-12-19,70
2015-12-20,66
2015-12-21,66
2015-12-22,92
2015-12-23,88
2015-12-24,0
2015-12-25, 
2015-12-26, 









