Web Search interest: dotacinema
Worldwide Jan-Feb 2014

Interest over time
Day,dotacinema
2014-01-01,0
2014-01-02,0
2014-01-03,71
2014-01-04,70
2014-01-05,62
2014-01-06,62
2014-01-07,52
2014-01-08,52
2014-01-09,58
2014-01-10,65
2014-01-11,50
2014-01-12,50
2014-01-13,50
2014-01-14,54
2014-01-15,57
2014-01-16,59
2014-01-17,62
2014-01-18,73
2014-01-19,85
2014-01-20,76
2014-01-21,51
2014-01-22,51
2014-01-23,51
2014-01-24,51
2014-01-25,52
2014-01-26,53
2014-01-27,53
2014-01-28,61
2014-01-29,77
2014-01-30,61
2014-01-31,65
2014-02-01,61
2014-02-02,73
2014-02-03,61
2014-02-04,65
2014-02-05,66
2014-02-06,62
2014-02-07,62
2014-02-08,64
2014-02-09,67
2014-02-10,76
2014-02-11,72
2014-02-12,65
2014-02-13,50
2014-02-14,72
2014-02-15,74
2014-02-16,76
2014-02-17,77
2014-02-18,90
2014-02-19,82
2014-02-20,100
2014-02-21,88
2014-02-22,90
2014-02-23,97
2014-02-24,81
2014-02-25,72
2014-02-26,69
2014-02-27,54
2014-02-28,75









