Web Search interest: smite download
Worldwide Jan-Feb 2015

Interest over time
Day,smite download
2015-01-01,60
2015-01-02,63
2015-01-03,66
2015-01-04,60
2015-01-05,53
2015-01-06,53
2015-01-07,51
2015-01-08,48
2015-01-09,80
2015-01-10,97
2015-01-11,100
2015-01-12,77
2015-01-13,61
2015-01-14,71
2015-01-15,57
2015-01-16,61
2015-01-17,98
2015-01-18,97
2015-01-19,55
2015-01-20,67
2015-01-21,41
2015-01-22,53
2015-01-23,45
2015-01-24,75
2015-01-25,86
2015-01-26,50
2015-01-27,43
2015-01-28,63
2015-01-29,53
2015-01-30,70
2015-01-31,88
2015-02-01,71
2015-02-02,57
2015-02-03,49
2015-02-04,57
2015-02-05,49
2015-02-06,48
2015-02-07,81
2015-02-08,50
2015-02-09,41
2015-02-10,44
2015-02-11,49
2015-02-12,50
2015-02-13,53
2015-02-14,55
2015-02-15,63
2015-02-16,63
2015-02-17,56
2015-02-18,42
2015-02-19,46
2015-02-20,58
2015-02-21,69
2015-02-22,56
2015-02-23,49
2015-02-24,34
2015-02-25,51
2015-02-26,50
2015-02-27,49
2015-02-28,63









