Web Search interest: overwatch
Worldwide May-Jun 2014

Interest over time
Day,overwatch
2014-05-01,69
2014-05-02,52
2014-05-03,78
2014-05-04,82
2014-05-05,71
2014-05-06,42
2014-05-07,64
2014-05-08,63
2014-05-09,51
2014-05-10,64
2014-05-11,55
2014-05-12,55
2014-05-13,51
2014-05-14,50
2014-05-15,49
2014-05-16,60
2014-05-17,71
2014-05-18,69
2014-05-19,55
2014-05-20,49
2014-05-21,60
2014-05-22,55
2014-05-23,57
2014-05-24,91
2014-05-25,86
2014-05-26,67
2014-05-27,78
2014-05-28,68
2014-05-29,75
2014-05-30,64
2014-05-31,77
2014-06-01,89
2014-06-02,50
2014-06-03,46
2014-06-04,52
2014-06-05,59
2014-06-06,54
2014-06-07,84
2014-06-08,86
2014-06-09,59
2014-06-10,48
2014-06-11,54
2014-06-12,82
2014-06-13,71
2014-06-14,81
2014-06-15,79
2014-06-16,54
2014-06-17,67
2014-06-18,64
2014-06-19,65
2014-06-20,58
2014-06-21,82
2014-06-22,100
2014-06-23,51
2014-06-24,63
2014-06-25,58
2014-06-26,77
2014-06-27,80
2014-06-28,84
2014-06-29,94
2014-06-30,81



Top searches for overwatch
dayz overwatch,100
csgo overwatch,45
sims 3 overwatch,35



Rising searches for overwatch
dayz overwatch,+50%



