Web Search interest: overwatch
Worldwide Sep-Oct 2014

Interest over time
Day,overwatch
2014-09-01,60
2014-09-02,46
2014-09-03,49
2014-09-04,59
2014-09-05,52
2014-09-06,73
2014-09-07,100
2014-09-08,56
2014-09-09,54
2014-09-10,55
2014-09-11,57
2014-09-12,64
2014-09-13,66
2014-09-14,89
2014-09-15,58
2014-09-16,53
2014-09-17,61
2014-09-18,61
2014-09-19,45
2014-09-20,70
2014-09-21,63
2014-09-22,47
2014-09-23,56
2014-09-24,47
2014-09-25,62
2014-09-26,51
2014-09-27,51
2014-09-28,94
2014-09-29,53
2014-09-30,70
2014-10-01,43
2014-10-02,48
2014-10-03,54
2014-10-04,59
2014-10-05,66
2014-10-06,40
2014-10-07,42
2014-10-08,42
2014-10-09,43
2014-10-10,52
2014-10-11,64
2014-10-12,56
2014-10-13,45
2014-10-14,45
2014-10-15,45
2014-10-16,44
2014-10-17,44
2014-10-18,54
2014-10-19,63
2014-10-20,45
2014-10-21,41
2014-10-22,45
2014-10-23,59
2014-10-24,57
2014-10-25,93
2014-10-26,52
2014-10-27,46
2014-10-28,65
2014-10-29,63
2014-10-30,39
2014-10-31,0



Top searches for overwatch
dayz overwatch,100
overwatch csgo,95



Rising searches for overwatch
overwatch csgo,+50%



