Web Search interest: overwatch
Worldwide Jan-Feb 2013

Interest over time
Week,overwatch
2013-01-06 - 2013-01-12,99
2013-01-13 - 2013-01-19,100
2013-01-20 - 2013-01-26,86
2013-01-27 - 2013-02-02,96
2013-02-03 - 2013-02-09,98
2013-02-10 - 2013-02-16,78
2013-02-17 - 2013-02-23,78
2013-02-24 - 2013-03-02,69



Top searches for overwatch
sims 3 overwatch,100






