Web Search interest: overwatch
Worldwide Jan-Feb 2014

Interest over time
Day,overwatch
2014-01-01,86
2014-01-02,92
2014-01-03,83
2014-01-04,100
2014-01-05,93
2014-01-06,81
2014-01-07,59
2014-01-08,74
2014-01-09,48
2014-01-10,74
2014-01-11,75
2014-01-12,72
2014-01-13,51
2014-01-14,64
2014-01-15,55
2014-01-16,74
2014-01-17,52
2014-01-18,98
2014-01-19,86
2014-01-20,57
2014-01-21,62
2014-01-22,64
2014-01-23,71
2014-01-24,61
2014-01-25,78
2014-01-26,94
2014-01-27,74
2014-01-28,47
2014-01-29,56
2014-01-30,74
2014-01-31,52
2014-02-01,56
2014-02-02,59
2014-02-03,41
2014-02-04,51
2014-02-05,80
2014-02-06,62
2014-02-07,62
2014-02-08,58
2014-02-09,69
2014-02-10,61
2014-02-11,41
2014-02-12,41
2014-02-13,42
2014-02-14,60
2014-02-15,70
2014-02-16,75
2014-02-17,58
2014-02-18,56
2014-02-19,56
2014-02-20,52
2014-02-21,43
2014-02-22,67
2014-02-23,66
2014-02-24,53
2014-02-25,44
2014-02-26,0
2014-02-27,0
2014-02-28,0



Top searches for overwatch
dayz overwatch,100
nfs overwatch,65
nfs rivals overwatch,45






