Web Search interest: heroes of the storm forums
Worldwide May-Jun 2015

Interest over time
Week,heroes of the storm forums
2015-05-03 - 2015-05-09,55
2015-05-10 - 2015-05-16,74
2015-05-17 - 2015-05-23,75
2015-05-24 - 2015-05-30,62
2015-05-31 - 2015-06-06,99
2015-06-07 - 2015-06-13,87
2015-06-14 - 2015-06-20,68
2015-06-21 - 2015-06-27,72
2015-06-28 - 2015-07-04,100









