Web Search interest: dota 2 heroes guide
Worldwide Sep-Oct 2014

Interest over time
Week,dota 2 heroes guide
2014-09-07 - 2014-09-13,74
2014-09-14 - 2014-09-20,100
2014-09-21 - 2014-09-27,83
2014-09-28 - 2014-10-04,83
2014-10-05 - 2014-10-11,85
2014-10-12 - 2014-10-18,72
2014-10-19 - 2014-10-25,85
2014-10-26 - 2014-11-01,90









