Web Search interest: dota 2 heroes guide
Worldwide Jan-Feb 2014

Interest over time
Week,dota 2 heroes guide
2014-01-05 - 2014-01-11,83
2014-01-12 - 2014-01-18,57
2014-01-19 - 2014-01-25,86
2014-01-26 - 2014-02-01,100
2014-02-02 - 2014-02-08,98
2014-02-09 - 2014-02-15,64
2014-02-16 - 2014-02-22,89
2014-02-23 - 2014-03-01,84









