Web Search interest: team empire
Worldwide Sep-Oct 2015

Interest over time
Week,team empire
2015-09-06 - 2015-09-12,67
2015-09-13 - 2015-09-19,61
2015-09-20 - 2015-09-26,82
2015-09-27 - 2015-10-03,77
2015-10-04 - 2015-10-10,100
2015-10-11 - 2015-10-17,63
2015-10-18 - 2015-10-24,77
2015-10-25 - 2015-10-31,90









