Web Search interest: team empire
Worldwide Nov-Dec 2015

Interest over time
Week,team empire
2015-11-01 - 2015-11-07,71
2015-11-08 - 2015-11-14,69
2015-11-15 - 2015-11-21,45
2015-11-22 - 2015-11-28,100
2015-11-29 - 2015-12-05,91
2015-12-06 - 2015-12-12,88
2015-12-13 - 2015-12-19,55
2015-12-20 - 2015-12-26,71









