Web Search interest: league of legends download windows 7
Worldwide Jan-Feb 2015

Interest over time
Week,league of legends download windows 7
2015-01-04 - 2015-01-10,83
2015-01-11 - 2015-01-17,95
2015-01-18 - 2015-01-24,97
2015-01-25 - 2015-01-31,100
2015-02-01 - 2015-02-07,69
2015-02-08 - 2015-02-14,96
2015-02-15 - 2015-02-21,71
2015-02-22 - 2015-02-28,95









