Web Search interest: league of legends download windows 7
Worldwide Jan-Feb 2014

Interest over time
Week,league of legends download windows 7
2014-01-05 - 2014-01-11,70
2014-01-12 - 2014-01-18,66
2014-01-19 - 2014-01-25,92
2014-01-26 - 2014-02-01,100
2014-02-02 - 2014-02-08,100
2014-02-09 - 2014-02-15,80
2014-02-16 - 2014-02-22,74
2014-02-23 - 2014-03-01,80









