Web Search interest: hon dota 2
Worldwide Jul-Aug 2015

Interest over time
Week,hon dota 2
2015-07-05 - 2015-07-11,52
2015-07-12 - 2015-07-18,81
2015-07-19 - 2015-07-25,62
2015-07-26 - 2015-08-01,86
2015-08-02 - 2015-08-08,100
2015-08-09 - 2015-08-15,82
2015-08-16 - 2015-08-22,67
2015-08-23 - 2015-08-29,72
2015-08-30 - 2015-09-05,55









