Web Search interest: hon dota 2
Worldwide Jul-Aug 2013

Interest over time
Week,hon dota 2
2013-07-07 - 2013-07-13,60
2013-07-14 - 2013-07-20,74
2013-07-21 - 2013-07-27,72
2013-07-28 - 2013-08-03,68
2013-08-04 - 2013-08-10,78
2013-08-11 - 2013-08-17,100
2013-08-18 - 2013-08-24,79
2013-08-25 - 2013-08-31,65









