Web Search interest: hon dota 2
Worldwide May-Jun 2013

Interest over time
Week,hon dota 2
2013-05-05 - 2013-05-11,80
2013-05-12 - 2013-05-18,92
2013-05-19 - 2013-05-25,81
2013-05-26 - 2013-06-01,100
2013-06-02 - 2013-06-08,85
2013-06-09 - 2013-06-15,83
2013-06-16 - 2013-06-22,100
2013-06-23 - 2013-06-29,88
2013-06-30 - 2013-07-06,89









