Web Search interest: hon dota 2
Worldwide Mar-Apr 2012

Interest over time
Week,hon dota 2
2012-03-04 - 2012-03-10,75
2012-03-11 - 2012-03-17,71
2012-03-18 - 2012-03-24,99
2012-03-25 - 2012-03-31,79
2012-04-01 - 2012-04-07,100
2012-04-08 - 2012-04-14,97
2012-04-15 - 2012-04-21,80
2012-04-22 - 2012-04-28,76
2012-04-29 - 2012-05-05,81









