Web Search interest: hon dota 2
Worldwide Sep-Oct 2012

Interest over time
Week,hon dota 2
2012-09-02 - 2012-09-08,99
2012-09-09 - 2012-09-15,87
2012-09-16 - 2012-09-22,89
2012-09-23 - 2012-09-29,80
2012-09-30 - 2012-10-06,93
2012-10-07 - 2012-10-13,90
2012-10-14 - 2012-10-20,67
2012-10-21 - 2012-10-27,100
2012-10-28 - 2012-11-03,84









