Web Search interest: hon dota 2
Worldwide Jan-Feb 2013

Interest over time
Week,hon dota 2
2013-01-06 - 2013-01-12,97
2013-01-13 - 2013-01-19,98
2013-01-20 - 2013-01-26,88
2013-01-27 - 2013-02-02,100
2013-02-03 - 2013-02-09,98
2013-02-10 - 2013-02-16,73
2013-02-17 - 2013-02-23,72
2013-02-24 - 2013-03-02,75









