Web Search interest: hon dota 2
Worldwide Nov-Dec 2014

Interest over time
Week,hon dota 2
2014-11-02 - 2014-11-08,54
2014-11-09 - 2014-11-15,72
2014-11-16 - 2014-11-22,76
2014-11-23 - 2014-11-29,100
2014-11-30 - 2014-12-06,64
2014-12-07 - 2014-12-13,69
2014-12-14 - 2014-12-20,89
2014-12-21 - 2014-12-27,83
2014-12-28 - 2015-01-03,74









