Web Search interest: hon dota 2
Worldwide May-Jun 2012

Interest over time
Week,hon dota 2
2012-05-06 - 2012-05-12,66
2012-05-13 - 2012-05-19,70
2012-05-20 - 2012-05-26,80
2012-05-27 - 2012-06-02,75
2012-06-03 - 2012-06-09,82
2012-06-10 - 2012-06-16,76
2012-06-17 - 2012-06-23,89
2012-06-24 - 2012-06-30,100









