Web Search interest: hon dota 2
Worldwide Jan-Feb 2014

Interest over time
Week,hon dota 2
2014-01-05 - 2014-01-11,91
2014-01-12 - 2014-01-18,100
2014-01-19 - 2014-01-25,71
2014-01-26 - 2014-02-01,89
2014-02-02 - 2014-02-08,80
2014-02-09 - 2014-02-15,100
2014-02-16 - 2014-02-22,68
2014-02-23 - 2014-03-01,78









