Web Search interest: hon dota 2
Worldwide Jul-Aug 2011

Interest over time
Week,hon dota 2
2011-07-03 - 2011-07-09,11
2011-07-10 - 2011-07-16,13
2011-07-17 - 2011-07-23,16
2011-07-24 - 2011-07-30,16
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,23
2011-08-14 - 2011-08-20,100
2011-08-21 - 2011-08-27,42
2011-08-28 - 2011-09-03,26









