Web Search interest: hon dota 2
Worldwide Jul-Aug 2012

Interest over time
Week,hon dota 2
2012-07-01 - 2012-07-07,75
2012-07-08 - 2012-07-14,76
2012-07-15 - 2012-07-21,100
2012-07-22 - 2012-07-28,94
2012-07-29 - 2012-08-04,90
2012-08-05 - 2012-08-11,95
2012-08-12 - 2012-08-18,70
2012-08-19 - 2012-08-25,76
2012-08-26 - 2012-09-01,62









