Web Search interest: hon dota 2
Worldwide Sep-Oct 2013

Interest over time
Week,hon dota 2
2013-09-01 - 2013-09-07,93
2013-09-08 - 2013-09-14,94
2013-09-15 - 2013-09-21,87
2013-09-22 - 2013-09-28,74
2013-09-29 - 2013-10-05,73
2013-10-06 - 2013-10-12,85
2013-10-13 - 2013-10-19,100
2013-10-20 - 2013-10-26,91
2013-10-27 - 2013-11-02,73









