Web Search interest: hon dota 2
Worldwide Jan-Feb 2012

Interest over time
Week,hon dota 2
2012-01-01 - 2012-01-07,85
2012-01-08 - 2012-01-14,89
2012-01-15 - 2012-01-21,100
2012-01-22 - 2012-01-28,75
2012-01-29 - 2012-02-04,72
2012-02-05 - 2012-02-11,71
2012-02-12 - 2012-02-18,80
2012-02-19 - 2012-02-25,68
2012-02-26 - 2012-03-03,74









