Web Search interest: hon dota 2
Worldwide Sep-Oct 2014

Interest over time
Week,hon dota 2
2014-09-07 - 2014-09-13,100
2014-09-14 - 2014-09-20,87
2014-09-21 - 2014-09-27,85
2014-09-28 - 2014-10-04,94
2014-10-05 - 2014-10-11,92
2014-10-12 - 2014-10-18,91
2014-10-19 - 2014-10-25,85
2014-10-26 - 2014-11-01,76









