Web Search interest: hon dota 2
Worldwide Mar-Apr 2013

Interest over time
Week,hon dota 2
2013-03-03 - 2013-03-09,75
2013-03-10 - 2013-03-16,85
2013-03-17 - 2013-03-23,100
2013-03-24 - 2013-03-30,98
2013-03-31 - 2013-04-06,75
2013-04-07 - 2013-04-13,98
2013-04-14 - 2013-04-20,79
2013-04-21 - 2013-04-27,87
2013-04-28 - 2013-05-04,82









