Web Search interest: hon dota 2
Worldwide Jan-Feb 2015

Interest over time
Week,hon dota 2
2015-01-04 - 2015-01-10,0
2015-01-11 - 2015-01-17,90
2015-01-18 - 2015-01-24,95
2015-01-25 - 2015-01-31,97
2015-02-01 - 2015-02-07,82
2015-02-08 - 2015-02-14,100
2015-02-15 - 2015-02-21,69
2015-02-22 - 2015-02-28,66









