Vietnam,0
Thailand,1947
Indonesia,479
United Kingdom,1139
Chile,172
Canada,158
New Zealand,59
Philippines,509
Germany,50
Ireland,145
Mexico,267
Japan,184
Paraguay,534
Belgium,458
Macedonia,108
Poland,77
Peru,145
Colombia,245
Australia,202
Uruguay,366
Venezuela,519
Norway,308
Spain,640
Ecuador,251
The Netherlands,168
Argentina,82
United Arab Emirates,595
Estonia,1199
Slovakia,73
Brasil,907
China,375
Bulgaria,115
Latvia,313
Slovenia,124
Russia,222
United States,813
Kosovo,348
Sweden,624
Bolivia,0
Guayana,181
