Web Search interest: dota2wiki
Worldwide May-Jun 2015

Interest over time
Week,dota2wiki
2015-05-03 - 2015-05-09,89
2015-05-10 - 2015-05-16,88
2015-05-17 - 2015-05-23,87
2015-05-24 - 2015-05-30,96
2015-05-31 - 2015-06-06,98
2015-06-07 - 2015-06-13,72
2015-06-14 - 2015-06-20,88
2015-06-21 - 2015-06-27,99
2015-06-28 - 2015-07-04,100









