Web Search interest: hon dota heroes
Worldwide Sep-Oct 2009

Interest over time
Week,hon dota heroes
2009-09-06 - 2009-09-12,80
2009-09-13 - 2009-09-19,96
2009-09-20 - 2009-09-26,95
2009-09-27 - 2009-10-03,77
2009-10-04 - 2009-10-10,76
2009-10-11 - 2009-10-17,66
2009-10-18 - 2009-10-24,78
2009-10-25 - 2009-10-31,100



Top searches for hon dota heroes
heroes of newerth,100






