Web Search interest: joindota
Worldwide May-Jun 2015

Interest over time
Day,joindota
2015-05-01,45
2015-05-02,53
2015-05-03,51
2015-05-04,46
2015-05-05,49
2015-05-06,60
2015-05-07,68
2015-05-08,45
2015-05-09,53
2015-05-10,64
2015-05-11,52
2015-05-12,41
2015-05-13,54
2015-05-14,56
2015-05-15,53
2015-05-16,65
2015-05-17,79
2015-05-18,52
2015-05-19,38
2015-05-20,46
2015-05-21,50
2015-05-22,65
2015-05-23,59
2015-05-24,50
2015-05-25,70
2015-05-26,61
2015-05-27,53
2015-05-28,56
2015-05-29,75
2015-05-30,85
2015-05-31,76
2015-06-01,64
2015-06-02,51
2015-06-03,54
2015-06-04,61
2015-06-05,75
2015-06-06,100
2015-06-07,95
2015-06-08,45
2015-06-09,40
2015-06-10,36
2015-06-11,36
2015-06-12,44
2015-06-13,49
2015-06-14,52
2015-06-15,52
2015-06-16,32
2015-06-17,29
2015-06-18,43
2015-06-19,38
2015-06-20,61
2015-06-21,66
2015-06-22,32
2015-06-23,26
2015-06-24,27
2015-06-25,35
2015-06-26,28
2015-06-27,31
2015-06-28,33
2015-06-29,27
2015-06-30,31


Top regions for joindota
Region,joindota
Peru,100





Top searches for joindota
joindota league,100
gosugamers,90
dota2lounge,75






