Web Search interest: joindota
Worldwide Mar-Apr 2015

Interest over time
Day,joindota
2015-03-01,43
2015-03-02,37
2015-03-03,42
2015-03-04,36
2015-03-05,36
2015-03-06,46
2015-03-07,50
2015-03-08,44
2015-03-09,44
2015-03-10,50
2015-03-11,38
2015-03-12,46
2015-03-13,50
2015-03-14,56
2015-03-15,56
2015-03-16,35
2015-03-17,34
2015-03-18,44
2015-03-19,49
2015-03-20,48
2015-03-21,59
2015-03-22,50
2015-03-23,40
2015-03-24,38
2015-03-25,40
2015-03-26,38
2015-03-27,43
2015-03-28,44
2015-03-29,42
2015-03-30,41
2015-03-31,52
2015-04-01,45
2015-04-02,46
2015-04-03,48
2015-04-04,56
2015-04-05,56
2015-04-06,55
2015-04-07,48
2015-04-08,37
2015-04-09,31
2015-04-10,48
2015-04-11,100
2015-04-12,76
2015-04-13,51
2015-04-14,39
2015-04-15,42
2015-04-16,40
2015-04-17,42
2015-04-18,55
2015-04-19,54
2015-04-20,36
2015-04-21,42
2015-04-22,40
2015-04-23,43
2015-04-24,52
2015-04-25,62
2015-04-26,59
2015-04-27,29
2015-04-28,38
2015-04-29,39
2015-04-30,44


Top regions for joindota
Region,joindota
Peru,100


Top cities for joindota
Town/City,joindota
Singapore (Singapore),100



Top searches for joindota
joindota league,100
mlg joindota,90
gosugamers,80
joindota youtube,70



Rising searches for joindota
mlg joindota,+120%
gosugamers,+80%



