Web Search interest: joindota
Worldwide Mar-Apr 2014

Interest over time
Day,joindota
2014-03-01,52
2014-03-02,66
2014-03-03,59
2014-03-04,60
2014-03-05,54
2014-03-06,57
2014-03-07,54
2014-03-08,60
2014-03-09,73
2014-03-10,55
2014-03-11,48
2014-03-12,52
2014-03-13,53
2014-03-14,53
2014-03-15,62
2014-03-16,51
2014-03-17,45
2014-03-18,56
2014-03-19,49
2014-03-20,40
2014-03-21,48
2014-03-22,53
2014-03-23,55
2014-03-24,58
2014-03-25,45
2014-03-26,49
2014-03-27,45
2014-03-28,85
2014-03-29,66
2014-03-30,60
2014-03-31,55
2014-04-01,50
2014-04-02,54
2014-04-03,48
2014-04-04,42
2014-04-05,52
2014-04-06,52
2014-04-07,51
2014-04-08,43
2014-04-09,51
2014-04-10,43
2014-04-11,37
2014-04-12,53
2014-04-13,58
2014-04-14,53
2014-04-15,64
2014-04-16,48
2014-04-17,77
2014-04-18,83
2014-04-19,98
2014-04-20,100
2014-04-21,55
2014-04-22,43
2014-04-23,44
2014-04-24,36
2014-04-25,44
2014-04-26,71
2014-04-27,61
2014-04-28,46
2014-04-29,52
2014-04-30,55




Top cities for joindota
City,joindota
Singapore (Singapore),100
Kuala Lumpur (Malaysia),47



Top searches for joindota
joindota youtube,100
joindota league,90
joindota twitch,90






