Web Search interest: joindota
Worldwide Jan-Feb 2015

Interest over time
Day,joindota
2015-01-01,36
2015-01-02,51
2015-01-03,38
2015-01-04,41
2015-01-05,51
2015-01-06,58
2015-01-07,39
2015-01-08,49
2015-01-09,51
2015-01-10,61
2015-01-11,61
2015-01-12,35
2015-01-13,35
2015-01-14,36
2015-01-15,41
2015-01-16,46
2015-01-17,49
2015-01-18,52
2015-01-19,41
2015-01-20,37
2015-01-21,40
2015-01-22,40
2015-01-23,46
2015-01-24,53
2015-01-25,72
2015-01-26,36
2015-01-27,51
2015-01-28,56
2015-01-29,76
2015-01-30,72
2015-01-31,100
2015-02-01,79
2015-02-02,77
2015-02-03,57
2015-02-04,39
2015-02-05,68
2015-02-06,66
2015-02-07,87
2015-02-08,77
2015-02-09,66
2015-02-10,30
2015-02-11,43
2015-02-12,34
2015-02-13,32
2015-02-14,45
2015-02-15,39
2015-02-16,39
2015-02-17,37
2015-02-18,32
2015-02-19,35
2015-02-20,34
2015-02-21,34
2015-02-22,53
2015-02-23,37
2015-02-24,33
2015-02-25,34
2015-02-26,45
2015-02-27,39
2015-02-28,42



Top searches for joindota
joindota league,100



Rising searches for joindota
joindota league,+60%



