Web Search interest: joindota
Worldwide Sep-Oct 2014

Interest over time
Day,joindota
2014-09-01,65
2014-09-02,66
2014-09-03,69
2014-09-04,68
2014-09-05,79
2014-09-06,100
2014-09-07,99
2014-09-08,71
2014-09-09,66
2014-09-10,75
2014-09-11,84
2014-09-12,63
2014-09-13,81
2014-09-14,70
2014-09-15,69
2014-09-16,85
2014-09-17,74
2014-09-18,75
2014-09-19,68
2014-09-20,67
2014-09-21,75
2014-09-22,54
2014-09-23,84
2014-09-24,69
2014-09-25,68
2014-09-26,81
2014-09-27,83
2014-09-28,67
2014-09-29,52
2014-09-30,60
2014-10-01,64
2014-10-02,84
2014-10-03,83
2014-10-04,90
2014-10-05,94
2014-10-06,66
2014-10-07,61
2014-10-08,60
2014-10-09,72
2014-10-10,91
2014-10-11,65
2014-10-12,63
2014-10-13,64
2014-10-14,53
2014-10-15,51
2014-10-16,57
2014-10-17,65
2014-10-18,73
2014-10-19,69
2014-10-20,53
2014-10-21,48
2014-10-22,44
2014-10-23,55
2014-10-24,80
2014-10-25,79
2014-10-26,79
2014-10-27,57
2014-10-28,57
2014-10-29,57
2014-10-30,57
2014-10-31,69


Top regions for joindota
Region,joindota
Peru,100


Top cities for joindota
City,joindota
Singapore (Singapore),100



Top searches for joindota
joindota 2,100
joindota youtube,40
gosugamers,20






