Web Search interest: joindota
Worldwide Nov-Dec 2015

Interest over time
Day,joindota
2015-11-01,91
2015-11-02,47
2015-11-03,60
2015-11-04,52
2015-11-05,61
2015-11-06,55
2015-11-07,57
2015-11-08,58
2015-11-09,47
2015-11-10,48
2015-11-11,46
2015-11-12,48
2015-11-13,95
2015-11-14,87
2015-11-15,63
2015-11-16,74
2015-11-17,79
2015-11-18,80
2015-11-19,69
2015-11-20,84
2015-11-21,100
2015-11-22,44
2015-11-23,40
2015-11-24,36
2015-11-25,42
2015-11-26,42
2015-11-27,52
2015-11-28,43
2015-11-29,55
2015-11-30,47
2015-12-01,33
2015-12-02,61
2015-12-03,44
2015-12-04,46
2015-12-05,57
2015-12-06,56
2015-12-07,48
2015-12-08,48
2015-12-09,41
2015-12-10,39
2015-12-11,48
2015-12-12,52
2015-12-13,61
2015-12-14,44
2015-12-15,34
2015-12-16,40
2015-12-17,60
2015-12-18,60
2015-12-19,64
2015-12-20,64
2015-12-21,32
2015-12-22,38
2015-12-23,47
2015-12-24, 
2015-12-25, 









