Web Search interest: joindota
Worldwide Jan-Feb 2014

Interest over time
Day,joindota
2014-01-01,55
2014-01-02,31
2014-01-03,57
2014-01-04,57
2014-01-05,58
2014-01-06,42
2014-01-07,45
2014-01-08,64
2014-01-09,51
2014-01-10,47
2014-01-11,48
2014-01-12,52
2014-01-13,44
2014-01-14,42
2014-01-15,58
2014-01-16,42
2014-01-17,62
2014-01-18,75
2014-01-19,100
2014-01-20,53
2014-01-21,46
2014-01-22,39
2014-01-23,40
2014-01-24,45
2014-01-25,58
2014-01-26,81
2014-01-27,57
2014-01-28,57
2014-01-29,39
2014-01-30,51
2014-01-31,46
2014-02-01,63
2014-02-02,60
2014-02-03,44
2014-02-04,58
2014-02-05,67
2014-02-06,56
2014-02-07,50
2014-02-08,56
2014-02-09,74
2014-02-10,56
2014-02-11,64
2014-02-12,66
2014-02-13,63
2014-02-14,63
2014-02-15,62
2014-02-16,62
2014-02-17,59
2014-02-18,62
2014-02-19,72
2014-02-20,58
2014-02-21,57
2014-02-22,70
2014-02-23,92
2014-02-24,67
2014-02-25,76
2014-02-26,67
2014-02-27,64
2014-02-28,62




Top cities for joindota
City,joindota
Singapore (Singapore),100



Top searches for joindota
youtube joindota,100
joindota league,95
joindota twitch,90



Rising searches for joindota
joindota league,+170%



