Web Search interest: joindota
Worldwide Jul-Aug 2014

Interest over time
Day,joindota
2014-07-01,22
2014-07-02,26
2014-07-03,29
2014-07-04,26
2014-07-05,29
2014-07-06,31
2014-07-07,30
2014-07-08,72
2014-07-09,94
2014-07-10,92
2014-07-11,85
2014-07-12,100
2014-07-13,74
2014-07-14,58
2014-07-15,39
2014-07-16,24
2014-07-17,23
2014-07-18,76
2014-07-19,86
2014-07-20,86
2014-07-21,89
2014-07-22,29
2014-07-23,22
2014-07-24,21
2014-07-25,23
2014-07-26,17
2014-07-27,24
2014-07-28,18
2014-07-29,19
2014-07-30,30
2014-07-31,30
2014-08-01,32
2014-08-02,28
2014-08-03,37
2014-08-04,32
2014-08-05,35
2014-08-06,27
2014-08-07,39
2014-08-08,33
2014-08-09,31
2014-08-10,46
2014-08-11,27
2014-08-12,26
2014-08-13,41
2014-08-14,32
2014-08-15,29
2014-08-16,31
2014-08-17,46
2014-08-18,33
2014-08-19,31
2014-08-20,40
2014-08-21,45
2014-08-22,42
2014-08-23,46
2014-08-24,45
2014-08-25,45
2014-08-26,60
2014-08-27,53
2014-08-28,46
2014-08-29,49
2014-08-30,50
2014-08-31,44




Top cities for joindota
City,joindota
Singapore (Singapore),100



Top searches for joindota
joindota league,100
joindota youtube,85
joindota twitch,80
joindota ti4,75
dota2lounge,55
gosugamers,55



Rising searches for joindota
joindota ti4,+130%
joindota league,+40%



