Web Search interest: joindota
Worldwide Jul-Aug 2015

Interest over time
Day,joindota
2015-07-01,22
2015-07-02,27
2015-07-03,28
2015-07-04,30
2015-07-05,31
2015-07-06,27
2015-07-07,26
2015-07-08,21
2015-07-09,34
2015-07-10,31
2015-07-11,27
2015-07-12,32
2015-07-13,26
2015-07-14,32
2015-07-15,25
2015-07-16,25
2015-07-17,23
2015-07-18,28
2015-07-19,31
2015-07-20,36
2015-07-21,32
2015-07-22,38
2015-07-23,33
2015-07-24,35
2015-07-25,43
2015-07-26,78
2015-07-27,99
2015-07-28,86
2015-07-29,68
2015-07-30,63
2015-07-31,41
2015-08-01,31
2015-08-02,28
2015-08-03,69
2015-08-04,100
2015-08-05,79
2015-08-06,90
2015-08-07,78
2015-08-08,96
2015-08-09,53
2015-08-10,20
2015-08-11,27
2015-08-12,25
2015-08-13,25
2015-08-14,28
2015-08-15,34
2015-08-16,43
2015-08-17,30
2015-08-18,30
2015-08-19,40
2015-08-20,29
2015-08-21,30
2015-08-22,38
2015-08-23,30
2015-08-24,32
2015-08-25,30
2015-08-26,34
2015-08-27,27
2015-08-28,37
2015-08-29,29
2015-08-30,29
2015-08-31,33




Top cities for joindota
City,joindota
Breña (Peru),100
Singapore (Singapore),59
Kuala Lumpur (Malaysia),42



Top searches for joindota
joindota league,100
gosugamers,70






