Web Search interest: joindota
Worldwide Sep-Oct 2015

Interest over time
Day,joindota
2015-09-01,59
2015-09-02,68
2015-09-03,58
2015-09-04,65
2015-09-05,69
2015-09-06,63
2015-09-07,63
2015-09-08,55
2015-09-09,49
2015-09-10,49
2015-09-11,50
2015-09-12,52
2015-09-13,53
2015-09-14,50
2015-09-15,60
2015-09-16,53
2015-09-17,69
2015-09-18,63
2015-09-19,63
2015-09-20,64
2015-09-21,54
2015-09-22,81
2015-09-23,72
2015-09-24,66
2015-09-25,61
2015-09-26,58
2015-09-27,71
2015-09-28,52
2015-09-29,49
2015-09-30,47
2015-10-01,53
2015-10-02,41
2015-10-03,75
2015-10-04,86
2015-10-05,71
2015-10-06,54
2015-10-07,66
2015-10-08,48
2015-10-09,70
2015-10-10,89
2015-10-11,90
2015-10-12,70
2015-10-13,63
2015-10-14,62
2015-10-15,53
2015-10-16,91
2015-10-17,100
2015-10-18,92
2015-10-19,70
2015-10-20,59
2015-10-21,69
2015-10-22,70
2015-10-23,68
2015-10-24,59
2015-10-25,64
2015-10-26,60
2015-10-27,62
2015-10-28,59
2015-10-29,71
2015-10-30,58
2015-10-31,60




Top cities for joindota
Town/City,joindota
Breña (Peru),100
Singapore (Singapore),34



Top searches for joindota
joindota league,100
gosugamers,90
joindota twitch,90
dota2lounge,90
joindota youtube,85



Rising searches for joindota
joindota twitch,+40%



