Web Search interest: joindota
Worldwide Sep-Oct 2015

Interest over time
Day,joindota
2015-09-01,51
2015-09-02,47
2015-09-03,53
2015-09-04,68
2015-09-05,66
2015-09-06,57
2015-09-07,59
2015-09-08,53
2015-09-09,49
2015-09-10,50
2015-09-11,53
2015-09-12,46
2015-09-13,41
2015-09-14,40
2015-09-15,54
2015-09-16,59
2015-09-17,63
2015-09-18,60
2015-09-19,60
2015-09-20,57
2015-09-21,53
2015-09-22,65
2015-09-23,61
2015-09-24,63
2015-09-25,46
2015-09-26,56
2015-09-27,52
2015-09-28,39
2015-09-29,48
2015-09-30,43
2015-10-01,46
2015-10-02,41
2015-10-03,67
2015-10-04,73
2015-10-05,57
2015-10-06,51
2015-10-07,51
2015-10-08,45
2015-10-09,60
2015-10-10,81
2015-10-11,70
2015-10-12,72
2015-10-13,59
2015-10-14,54
2015-10-15,44
2015-10-16,85
2015-10-17,100
2015-10-18,99
2015-10-19,72
2015-10-20,56
2015-10-21,65
2015-10-22,61
2015-10-23,71
2015-10-24,59
2015-10-25,52
2015-10-26,58
2015-10-27,58
2015-10-28,53
2015-10-29,67
2015-10-30,61
2015-10-31,51


Top regions for joindota
Region,joindota
Peru,100


Top cities for joindota
City,joindota
Breña (Peru),100
Singapore (Singapore),34



Top searches for joindota
dota2lounge,100
joindota league,100
joindota youtube,95
gosugamers,90






