Web Search interest: joindota
Worldwide May-Jun 2014

Interest over time
Day,joindota
2014-05-01,61
2014-05-02,63
2014-05-03,71
2014-05-04,81
2014-05-05,58
2014-05-06,61
2014-05-07,51
2014-05-08,51
2014-05-09,51
2014-05-10,65
2014-05-11,75
2014-05-12,90
2014-05-13,85
2014-05-14,81
2014-05-15,71
2014-05-16,76
2014-05-17,76
2014-05-18,72
2014-05-19,56
2014-05-20,60
2014-05-21,53
2014-05-22,42
2014-05-23,56
2014-05-24,83
2014-05-25,78
2014-05-26,64
2014-05-27,71
2014-05-28,62
2014-05-29,57
2014-05-30,53
2014-05-31,59
2014-06-01,61
2014-06-02,65
2014-06-03,46
2014-06-04,51
2014-06-05,62
2014-06-06,86
2014-06-07,78
2014-06-08,69
2014-06-09,52
2014-06-10,42
2014-06-11,38
2014-06-12,41
2014-06-13,40
2014-06-14,79
2014-06-15,81
2014-06-16,55
2014-06-17,51
2014-06-18,40
2014-06-19,64
2014-06-20,57
2014-06-21,66
2014-06-22,66
2014-06-23,53
2014-06-24,55
2014-06-25,51
2014-06-26,50
2014-06-27,41
2014-06-28,83
2014-06-29,100
2014-06-30,43


Top regions for joindota
Region,joindota
Peru,100


Top cities for joindota
City,joindota
Breña (Peru),100
Singapore (Singapore),64
Kuala Lumpur (Malaysia),31



Top searches for joindota
joindota youtube,100
joindota league,65






