Web Search interest: joindota
Worldwide Nov-Dec 2014

Interest over time
Day,joindota
2014-11-01,100
2014-11-02,95
2014-11-03,66
2014-11-04,66
2014-11-05,66
2014-11-06,67
2014-11-07,64
2014-11-08,79
2014-11-09,70
2014-11-10,60
2014-11-11,59
2014-11-12,82
2014-11-13,75
2014-11-14,72
2014-11-15,69
2014-11-16,76
2014-11-17,65
2014-11-18,61
2014-11-19,53
2014-11-20,62
2014-11-21,56
2014-11-22,45
2014-11-23,61
2014-11-24,49
2014-11-25,51
2014-11-26,50
2014-11-27,47
2014-11-28,40
2014-11-29,60
2014-11-30,64
2014-12-01,42
2014-12-02,55
2014-12-03,58
2014-12-04,83
2014-12-05,69
2014-12-06,57
2014-12-07,68
2014-12-08,60
2014-12-09,50
2014-12-10,38
2014-12-11,45
2014-12-12,55
2014-12-13,66
2014-12-14,61
2014-12-15,47
2014-12-16,59
2014-12-17,56
2014-12-18,50
2014-12-19,48
2014-12-20,61
2014-12-21,65
2014-12-22,53
2014-12-23,46
2014-12-24,55
2014-12-25,46
2014-12-26,45
2014-12-27,55
2014-12-28,44
2014-12-29,46
2014-12-30,33
2014-12-31,39


Top regions for joindota
Region,joindota
Peru,100


Top cities for joindota
City,joindota
Singapore (Singapore),100









