Web Search interest: heroes of the storm wiki
Worldwide May-Jun 2015

Interest over time
Week,heroes of the storm wiki
2015-05-03 - 2015-05-09,46
2015-05-10 - 2015-05-16,54
2015-05-17 - 2015-05-23,54
2015-05-24 - 2015-05-30,63
2015-05-31 - 2015-06-06,100
2015-06-07 - 2015-06-13,79
2015-06-14 - 2015-06-20,68
2015-06-21 - 2015-06-27,50
2015-06-28 - 2015-07-04,54









