Web Search interest: heroes of the storm wiki
Worldwide Nov-Dec 2015

Interest over time
Week,heroes of the storm wiki
2015-11-01 - 2015-11-07,100
2015-11-08 - 2015-11-14,72
2015-11-15 - 2015-11-21,73
2015-11-22 - 2015-11-28,74
2015-11-29 - 2015-12-05,51
2015-12-06 - 2015-12-12,45
2015-12-13 - 2015-12-19,69
2015-12-20 - 2015-12-26,0









