Web Search interest: lol mid
Worldwide Sep-Oct 2012

Interest over time
Day,lol mid
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,58
2012-09-07,67
2012-09-08,75
2012-09-09,65
2012-09-10,65
2012-09-11,65
2012-09-12,65
2012-09-13,79
2012-09-14,94
2012-09-15,56
2012-09-16,56
2012-09-17,56
2012-09-18,56
2012-09-19,53
2012-09-20,53
2012-09-21,58
2012-09-22,64
2012-09-23,64
2012-09-24,64
2012-09-25,64
2012-09-26,70
2012-09-27,75
2012-09-28,81
2012-09-29,86
2012-09-30,64
2012-10-01,64
2012-10-02,64
2012-10-03,64
2012-10-04,60
2012-10-05,62
2012-10-06,62
2012-10-07,65
2012-10-08,66
2012-10-09,57
2012-10-10,62
2012-10-11,59
2012-10-12,75
2012-10-13,87
2012-10-14,99
2012-10-15,50
2012-10-16,54
2012-10-17,58
2012-10-18,59
2012-10-19,63
2012-10-20,67
2012-10-21,71
2012-10-22,67
2012-10-23,74
2012-10-24,54
2012-10-25,66
2012-10-26,77
2012-10-27,89
2012-10-28,100
2012-10-29,70
2012-10-30,70
2012-10-31,0



Top searches for lol mid
solo mid,100






