Web Search interest: lol mid
Worldwide Mar-Apr 2013

Interest over time
Day,lol mid
2013-03-01,85
2013-03-02,65
2013-03-03,87
2013-03-04,58
2013-03-05,53
2013-03-06,59
2013-03-07,61
2013-03-08,78
2013-03-09,65
2013-03-10,61
2013-03-11,52
2013-03-12,66
2013-03-13,48
2013-03-14,61
2013-03-15,75
2013-03-16,85
2013-03-17,65
2013-03-18,76
2013-03-19,89
2013-03-20,84
2013-03-21,60
2013-03-22,76
2013-03-23,88
2013-03-24,79
2013-03-25,58
2013-03-26,75
2013-03-27,71
2013-03-28,56
2013-03-29,97
2013-03-30,81
2013-03-31,91
2013-04-01,83
2013-04-02,63
2013-04-03,78
2013-04-04,86
2013-04-05,71
2013-04-06,90
2013-04-07,88
2013-04-08,68
2013-04-09,64
2013-04-10,57
2013-04-11,74
2013-04-12,65
2013-04-13,83
2013-04-14,92
2013-04-15,93
2013-04-16,65
2013-04-17,60
2013-04-18,49
2013-04-19,74
2013-04-20,83
2013-04-21,79
2013-04-22,78
2013-04-23,82
2013-04-24,81
2013-04-25,81
2013-04-26,74
2013-04-27,100
2013-04-28,85
2013-04-29,72
2013-04-30,56



Top searches for lol mid
best mid lol,100
solo mid,95
lol counter,85






