Web Search interest: lol mid
Worldwide May-Jun 2015

Interest over time
Day,lol mid
2015-05-01,43
2015-05-02,53
2015-05-03,49
2015-05-04,41
2015-05-05,47
2015-05-06,38
2015-05-07,70
2015-05-08,99
2015-05-09,100
2015-05-10,99
2015-05-11,61
2015-05-12,34
2015-05-13,29
2015-05-14,34
2015-05-15,34
2015-05-16,50
2015-05-17,44
2015-05-18,28
2015-05-19,30
2015-05-20,28
2015-05-21,26
2015-05-22,29
2015-05-23,44
2015-05-24,40
2015-05-25,33
2015-05-26,28
2015-05-27,26
2015-05-28,34
2015-05-29,31
2015-05-30,45
2015-05-31,44
2015-06-01,31
2015-06-02,32
2015-06-03,29
2015-06-04,31
2015-06-05,35
2015-06-06,43
2015-06-07,33
2015-06-08,20
2015-06-09,35
2015-06-10,33
2015-06-11,29
2015-06-12,30
2015-06-13,40
2015-06-14,39
2015-06-15,30
2015-06-16,34
2015-06-17,40
2015-06-18,40
2015-06-19,40
2015-06-20,44
2015-06-21,48
2015-06-22,38
2015-06-23,35
2015-06-24,37
2015-06-25,38
2015-06-26,39
2015-06-27,39
2015-06-28,43
2015-06-29,36
2015-06-30,41



Top searches for lol mid
mid season invitational,100
lol mid champions,45



Rising searches for lol mid
mid season invitational,+180%



