Web Search interest: lol mid
Worldwide Sep-Oct 2013

Interest over time
Day,lol mid
2013-09-01,86
2013-09-02,70
2013-09-03,58
2013-09-04,63
2013-09-05,64
2013-09-06,80
2013-09-07,80
2013-09-08,66
2013-09-09,62
2013-09-10,43
2013-09-11,58
2013-09-12,55
2013-09-13,73
2013-09-14,100
2013-09-15,98
2013-09-16,66
2013-09-17,71
2013-09-18,60
2013-09-19,61
2013-09-20,64
2013-09-21,92
2013-09-22,92
2013-09-23,68
2013-09-24,66
2013-09-25,64
2013-09-26,67
2013-09-27,68
2013-09-28,76
2013-09-29,85
2013-09-30,59
2013-10-01,51
2013-10-02,68
2013-10-03,58
2013-10-04,59
2013-10-05,73
2013-10-06,70
2013-10-07,59
2013-10-08,55
2013-10-09,47
2013-10-10,56
2013-10-11,51
2013-10-12,89
2013-10-13,89
2013-10-14,68
2013-10-15,50
2013-10-16,52
2013-10-17,59
2013-10-18,71
2013-10-19,85
2013-10-20,90
2013-10-21,60
2013-10-22,64
2013-10-23,58
2013-10-24,70
2013-10-25,71
2013-10-26,74
2013-10-27,72
2013-10-28,61
2013-10-29,59
2013-10-30,47
2013-10-31,45



Top searches for lol mid
best mid lol,100
lol counter,100
solo mid,80
lol mid champions,65






