Web Search interest: lol mid
Worldwide Sep-Oct 2011

Interest over time
Week,lol mid
2011-09-04 - 2011-09-10,79
2011-09-11 - 2011-09-17,100
2011-09-18 - 2011-09-24,77
2011-09-25 - 2011-10-01,75
2011-10-02 - 2011-10-08,75
2011-10-09 - 2011-10-15,96
2011-10-16 - 2011-10-22,71
2011-10-23 - 2011-10-29,85
2011-10-30 - 2011-11-05,78



Top searches for lol mid
solo mid,100






