Web Search interest: lol mid
Worldwide May-Jun 2012

Interest over time
Week,lol mid
2012-05-06 - 2012-05-12,89
2012-05-13 - 2012-05-19,71
2012-05-20 - 2012-05-26,57
2012-05-27 - 2012-06-02,75
2012-06-03 - 2012-06-09,88
2012-06-10 - 2012-06-16,100
2012-06-17 - 2012-06-23,95
2012-06-24 - 2012-06-30,96



Top searches for lol mid
solo mid,100






