Web Search interest: lol mid
Worldwide Jan-Feb 2014

Interest over time
Day,lol mid
2014-01-01,79
2014-01-02,72
2014-01-03,67
2014-01-04,84
2014-01-05,85
2014-01-06,59
2014-01-07,58
2014-01-08,57
2014-01-09,69
2014-01-10,57
2014-01-11,81
2014-01-12,79
2014-01-13,67
2014-01-14,56
2014-01-15,65
2014-01-16,57
2014-01-17,90
2014-01-18,93
2014-01-19,95
2014-01-20,71
2014-01-21,71
2014-01-22,55
2014-01-23,67
2014-01-24,60
2014-01-25,72
2014-01-26,85
2014-01-27,77
2014-01-28,76
2014-01-29,82
2014-01-30,74
2014-01-31,74
2014-02-01,100
2014-02-02,88
2014-02-03,62
2014-02-04,80
2014-02-05,63
2014-02-06,73
2014-02-07,74
2014-02-08,72
2014-02-09,62
2014-02-10,58
2014-02-11,64
2014-02-12,63
2014-02-13,57
2014-02-14,65
2014-02-15,88
2014-02-16,77
2014-02-17,65
2014-02-18,62
2014-02-19,60
2014-02-20,65
2014-02-21,73
2014-02-22,89
2014-02-23,90
2014-02-24,59
2014-02-25,66
2014-02-26,65
2014-02-27,68
2014-02-28,57



Top searches for lol mid
lol counter,100
solo mid,70
lol mid champions,60






