Web Search interest: lol mid
Worldwide May-Jun 2015

Interest over time
Day,lol mid
2015-05-01,38
2015-05-02,53
2015-05-03,46
2015-05-04,31
2015-05-05,35
2015-05-06,36
2015-05-07,76
2015-05-08,92
2015-05-09,100
2015-05-10,97
2015-05-11,61
2015-05-12,29
2015-05-13,32
2015-05-14,32
2015-05-15,34
2015-05-16,38
2015-05-17,46
2015-05-18,29
2015-05-19,31
2015-05-20,24
2015-05-21,25
2015-05-22,24
2015-05-23,34
2015-05-24,33
2015-05-25,36
2015-05-26,27
2015-05-27,27
2015-05-28,39
2015-05-29,28
2015-05-30,33
2015-05-31,43
2015-06-01,24
2015-06-02,29
2015-06-03,25
2015-06-04,23
2015-06-05,24
2015-06-06,33
2015-06-07,34
2015-06-08,21
2015-06-09,36
2015-06-10,27
2015-06-11,29
2015-06-12,33
2015-06-13,31
2015-06-14,39
2015-06-15,30
2015-06-16,32
2015-06-17,31
2015-06-18,26
2015-06-19,32
2015-06-20,41
2015-06-21,36
2015-06-22,32
2015-06-23,34
2015-06-24,35
2015-06-25,37
2015-06-26,29
2015-06-27,41
2015-06-28,45
2015-06-29,39
2015-06-30,37



Top searches for lol mid
mid invitational lol,100
mid season invitational,95
lol counter,55



Rising searches for lol mid
mid season invitational,+250%
mid invitational lol,+180%



