Web Search interest: lol mid
Worldwide Sep-Oct 2014

Interest over time
Day,lol mid
2014-09-01,72
2014-09-02,71
2014-09-03,73
2014-09-04,53
2014-09-05,49
2014-09-06,70
2014-09-07,86
2014-09-08,56
2014-09-09,54
2014-09-10,57
2014-09-11,61
2014-09-12,50
2014-09-13,66
2014-09-14,66
2014-09-15,65
2014-09-16,59
2014-09-17,58
2014-09-18,52
2014-09-19,70
2014-09-20,89
2014-09-21,100
2014-09-22,73
2014-09-23,63
2014-09-24,52
2014-09-25,73
2014-09-26,70
2014-09-27,62
2014-09-28,85
2014-09-29,64
2014-09-30,60
2014-10-01,53
2014-10-02,55
2014-10-03,68
2014-10-04,99
2014-10-05,86
2014-10-06,68
2014-10-07,53
2014-10-08,59
2014-10-09,40
2014-10-10,56
2014-10-11,76
2014-10-12,93
2014-10-13,72
2014-10-14,60
2014-10-15,54
2014-10-16,58
2014-10-17,71
2014-10-18,67
2014-10-19,69
2014-10-20,73
2014-10-21,63
2014-10-22,60
2014-10-23,60
2014-10-24,63
2014-10-25,60
2014-10-26,72
2014-10-27,51
2014-10-28,65
2014-10-29,57
2014-10-30,57
2014-10-31,63



Top searches for lol mid
lol counter,100
mid lane lol,85
solo mid,75






