Web Search interest: lol mid
Worldwide Mar-Apr 2012

Interest over time
Week,lol mid
2012-03-04 - 2012-03-10,63
2012-03-11 - 2012-03-17,71
2012-03-18 - 2012-03-24,75
2012-03-25 - 2012-03-31,58
2012-04-01 - 2012-04-07,78
2012-04-08 - 2012-04-14,84
2012-04-15 - 2012-04-21,81
2012-04-22 - 2012-04-28,97
2012-04-29 - 2012-05-05,100



Top searches for lol mid
solo mid,100






