Web Search interest: lol mid
Worldwide Jan-Feb 2012

Interest over time
Week,lol mid
2012-01-01 - 2012-01-07,49
2012-01-08 - 2012-01-14,69
2012-01-15 - 2012-01-21,62
2012-01-22 - 2012-01-28,72
2012-01-29 - 2012-02-04,72
2012-02-05 - 2012-02-11,79
2012-02-12 - 2012-02-18,82
2012-02-19 - 2012-02-25,100
2012-02-26 - 2012-03-03,82



Top searches for lol mid
solo mid,100






