Web Search interest: cdec
Worldwide Jan-Feb 2015

Interest over time
Week,cdec
2015-01-04 - 2015-01-10,100
2015-01-11 - 2015-01-17,96
2015-01-18 - 2015-01-24,48
2015-01-25 - 2015-01-31,98
2015-02-01 - 2015-02-07,91
2015-02-08 - 2015-02-14,56
2015-02-15 - 2015-02-21,50
2015-02-22 - 2015-02-28,51









